"","your_lowest","last_pile","your_hand_size","other_hand_size","prob_you_lowest"
"547",7,0,5,2,89.4071
"548",7,0,5,3,84.3142
"549",7,0,5,4,79.7783
"550",7,0,5,5,75.0994
"551",7,1,1,1,94.3
"552",7,1,1,2,90.5
"553",7,1,1,3,85
"554",7,1,1,4,78.5
"555",7,1,1,5,77.5
"556",7,1,2,1,95.0009193054137
"557",7,1,2,2,90.2378405650858
"558",7,1,2,3,85.6809523809524
"559",7,1,2,4,81.2724520686176
"560",7,1,2,5,76.9212916246216
"561",7,1,3,1,95.0243133265514
"562",7,1,3,2,90.3671443193449
"563",7,1,3,3,85.879107505071
"564",7,1,3,4,81.5404689092763
"565",7,1,3,5,77.603873598369
"566",7,1,4,1,95.2433846153846
"567",7,1,4,2,90.5009345794393
"568",7,1,4,3,86.1536008230453
"569",7,1,4,4,81.9739669421488
"570",7,1,4,5,78.0465020576132
"571",7,1,5,1,95.2171759747102
"572",7,1,5,2,90.8567681007345
"573",7,1,5,3,86.2196037539103
"574",7,1,5,4,82.6561586638831
"575",7,1,5,5,78.5195378151261
"576",7,2,1,1,94.5
"577",7,2,1,2,90.6
"578",7,2,1,3,85.9
"579",7,2,1,4,79.6
"580",7,2,1,5,76.5
"581",7,2,2,1,94.9240040858018
"582",7,2,2,2,90.1594455852156
"583",7,2,2,3,85.5768996960486
"584",7,2,2,4,81.2338809034908
"585",7,2,2,5,76.8253319713994
"586",7,2,3,1,94.9698429319372
"587",7,2,3,2,90.2400210084034
"588",7,2,3,3,85.7737172774869
"589",7,2,3,4,81.3117708333333
"590",7,2,3,5,77.3095634095634
"591",7,2,4,1,95.0744994731296
"592",7,2,4,2,90.2932907348243
"593",7,2,4,3,85.8900958466454
"594",7,2,4,4,81.4936830835118
"595",7,2,4,5,77.6863685932388
"596",7,2,5,1,95.1858836206897
"597",7,2,5,2,90.4348012889366
"598",7,2,5,3,85.9779510022272
"599",7,2,5,4,81.8384105960265
"600",7,2,5,5,77.5125405405405
"601",7,3,1,1,94.9
"602",7,3,1,2,90.3
"603",7,3,1,3,84.5
"604",7,3,1,4,80
"605",7,3,1,5,76.4
"606",7,3,2,1,94.8246875
"607",7,3,2,2,90.0480572597137
"608",7,3,2,3,85.4344262295082
"609",7,3,2,4,80.9956790123457
"610",7,3,2,5,76.7234809474768
"611",7,3,3,1,94.8805319148936
"612",7,3,3,2,90.3491507430998
"613",7,3,3,3,85.3913829787234
"614",7,3,3,4,81.1204909284952
"615",7,3,3,5,76.9037553648069
"616",7,3,4,1,94.9779716466739
"617",7,3,4,2,90.2357221609702
"618",7,3,4,3,85.4979028697572
"619",7,3,4,4,81.3472943722944
"620",7,3,4,5,77.2016648168701
"621",7,3,5,1,95.0189098998888
"622",7,3,5,2,90.2422566371681
"623",7,3,5,3,85.7448081264108
"624",7,3,5,4,81.4266968325792
"625",7,3,5,5,77.1085297418631
"626",7,4,1,1,94.8
"627",7,4,1,2,88.4
"628",7,4,1,3,87.3
"629",7,4,1,4,81.3
"630",7,4,1,5,74.4
"631",7,4,2,1,94.9202479338843
"632",7,4,2,2,90.0848958333333
"633",7,4,2,3,85.3913900414938
"634",7,4,2,4,80.9519331243469
"635",7,4,2,5,76.713179916318
"636",7,4,3,1,94.9159699892819
"637",7,4,3,2,90.0609544468547
"638",7,4,3,3,85.2339149400218
"639",7,4,3,4,81.0155773420479
"640",7,4,3,5,76.7791621911923
"641",7,4,4,1,94.9197055492639
"642",7,4,4,2,90.0509090909091
"643",7,4,4,3,85.2769585253456
"644",7,4,4,4,80.8912599318956
"645",7,4,4,5,76.6548611111111
"646",7,4,5,1,94.9426076833527
"647",7,4,5,2,90.1408767772512
"648",7,4,5,3,85.2137049941928
"649",7,4,5,4,81.2283832335329
"650",7,4,5,5,76.7122765196663
"651",7,5,1,1,94.8
"652",7,5,1,2,89.6
"653",7,5,1,3,87.2
"654",7,5,1,4,79.6
"655",7,5,1,5,76.7
"656",7,5,2,1,94.9299363057325
"657",7,5,2,2,89.9886910994764
"658",7,5,2,3,85.3502118644068
"659",7,5,2,4,80.9766069546891
"660",7,5,2,5,76.5352631578947
"661",7,5,3,1,94.9586129753915
"662",7,5,3,2,90.0322147651007
"663",7,5,3,3,85.4155191256831
"664",7,5,3,4,80.8756967670011
"665",7,5,3,5,76.5559870550162
"666",7,5,4,1,94.8949648711944
"667",7,5,4,2,90.0077546296296
"668",7,5,4,3,85.5518900343643
"669",7,5,4,4,80.9984918793504
"670",7,5,4,5,76.4656542056075
"671",7,5,5,1,94.9363523573201
"672",7,5,5,2,90.0306615776081
"673",7,5,5,3,85.4492700729927
"674",7,5,5,4,81.0282802547771
"675",7,5,5,5,76.8620098039216
"676",7,6,1,1,100
"677",7,6,1,2,100
"678",7,6,1,3,100
"679",7,6,1,4,100
"680",7,6,1,5,100
"681",7,6,2,1,100
"682",7,6,2,2,100
"683",7,6,2,3,100
"684",7,6,2,4,100
"685",7,6,2,5,100
"686",7,6,3,1,100
"687",7,6,3,2,100
"688",7,6,3,3,100
"689",7,6,3,4,100
"690",7,6,3,5,100
"691",7,6,4,1,100
"692",7,6,4,2,100
"693",7,6,4,3,100
"694",7,6,4,4,100
"695",7,6,4,5,100
"696",7,6,5,1,100
"697",7,6,5,2,100
"698",7,6,5,3,100
"699",7,6,5,4,100
"700",7,6,5,5,100
"701",8,0,1,1,93.9
"702",8,0,1,2,87.1
"703",8,0,1,3,78.9
"704",8,0,1,4,72.9
"705",8,0,1,5,71
"706",8,0,2,1,93.0616
"707",8,0,2,2,86.7235
"708",8,0,2,3,80.7669
"709",8,0,2,4,75.0967
"710",8,0,2,5,69.7182
"711",8,0,3,1,93.3899
"712",8,0,3,2,87.1441
"713",8,0,3,3,81.0952
"714",8,0,3,4,75.8308
"715",8,0,3,5,70.786
"716",8,0,4,1,93.5892
"717",8,0,4,2,87.5026
"718",8,0,4,3,81.6026
"719",8,0,4,4,76.3825
"720",8,0,4,5,71.2585
"721",8,0,5,1,93.6194
"722",8,0,5,2,88.0339
"723",8,0,5,3,82.8572
"724",8,0,5,4,77.3677
"725",8,0,5,5,72.5847
"726",8,1,1,1,94.9
"727",8,1,1,2,89.4
"728",8,1,1,3,82.9
"729",8,1,1,4,76.6
"730",8,1,1,5,71.3
"731",8,1,2,1,94.0107862903226
"732",8,1,2,2,88.3990918264379
"733",8,1,2,3,82.9945344129555
"734",8,1,2,4,78.082995951417
"735",8,1,2,5,72.989314516129
"736",8,1,3,1,94.1878818737271
"737",8,1,3,2,88.902044989775
"738",8,1,3,3,83.357477110885
"739",8,1,3,4,78.5067209775967
"740",8,1,3,5,73.8015353121801
"741",8,1,4,1,94.3407636738906
"742",8,1,4,2,88.9727085478888
"743",8,1,4,3,83.9555208333333
"744",8,1,4,4,79.129175257732
"745",8,1,4,5,74.1681397738952
"746",8,1,5,1,94.3545929018789
"747",8,1,5,2,89.2310416666667
"748",8,1,5,3,84.4101871101871
